sample_id	cram_path	donor_id	collaborator_sample_id
SM-OLQZ3	sr_SMHT001-3O-001A3_illumina_1.cram	SMHT001	SMHT001-3O-001A3
SM-OLQZ5	sr_SMHT001-3M-001A1_illumina_2.cram	SMHT001	SMHT001-3M-001A1
SM-OLQZ6	sr_SMHT001-3AF-001A2_illumina_2.cram	SMHT001	SMHT001-3AF-001A2
SM-OLQZ8	sr_SMHT001-3C-001A1_illumina_1.cram	SMHT001	SMHT001-3C-001A1
SM-OLQZ9	sr_SMHT001-3AM-001A1_illumina_2.cram	SMHT001	SMHT001-3AM-001A1
SM-OLQZA	sr_SMHT001-3G-001A1_illumina_1.cram	SMHT001	SMHT001-3G-001A1
SM-OLQZC	sr_SMHT001-3AH-001A1_illumina_1.cram	SMHT001	SMHT001-3AH-001A1
SM-OLQZH	sr_SMHT001-3Q-001A1_illumina_2.cram	SMHT001	SMHT001-3Q-001A1
SM-OLQZI	sr_SMHT001-3U-001A1_illumina_2.cram	SMHT001	SMHT001-3U-001A1
SM-OLQZK	sr_SMHT001-3A-01_illumina_1.cram	SMHT001	SMHT001-3A-01
SM-OLQZL	sr_SMHT001-3AK-001A1_illumina_1.cram	SMHT001	SMHT001-3AK-001A1
SM-OLQZM	sr_SMHT001-3S-001A1_illumina_1.cram	SMHT001	SMHT001-3S-001A1
SM-OLRTA	sr_SMHT001-3O-001A3_illumina_2.cram	SMHT001	SMHT001-3O-001A3
