sample_id	cram_path	donor_id	collaborator_sample_id
SM-OM9MS	sr_SMHT022-3AD-002A1_illumina_1.cram	SMHT022	SMHT022-3AD-002A1
SM-OM9MT	sr_SMHT022-3AN-001A1_illumina_1.cram	SMHT022	SMHT022-3AN-001A1
SM-OM9MU	sr_SMHT022-3Q-001A1_illumina_1.cram	SMHT022	SMHT022-3Q-001A1
SM-OM9MW	sr_SMHT022-3E-001A1_illumina_1.cram	SMHT022	SMHT022-3E-001A1
SM-OM9N5	sr_SMHT022-3I-001A1_illumina_1.cram	SMHT022	SMHT022-3I-001A1
SM-OM9N6	sr_SMHT022-3AK-001A1_illumina_1.cram	SMHT022	SMHT022-3AK-001A1
SM-OM9N7	sr_SMHT022-3K-001A1_illumina_1.cram	SMHT022	SMHT022-3K-001A1
SM-OM9N8	sr_SMHT022-3AL-001A1_illumina_1.cram	SMHT022	SMHT022-3AL-001A1
SM-OM9N9	sr_SMHT022-3O-001A2_illumina_2.cram	SMHT022	SMHT022-3O-001A2
SM-OM9NA	sr_SMHT022-3AM-001A1_illumina_1.cram	SMHT022	SMHT022-3AM-001A1
SM-OM9NB	sr_SMHT022-3U-001A1_illumina_2.cram	SMHT022	SMHT022-3U-001A1
SM-OM9O1	sr_SMHT022-3AD-002A1_illumina_2.cram	SMHT022	SMHT022-3AD-002A1
SM-OM9O2	sr_SMHT022-3AN-001A1_illumina_2.cram	SMHT022	SMHT022-3AN-001A1
