entity:sample_id	donor_id	collaborator_sample_id	cram_path
SM-OLH2U	SMHT022	SMHT022-3C-001A4	SMHT022-3C-001A4.cram
SM-OLH2V	SMHT022	SMHT022-3Q-005A1	SMHT022-3Q-005A1.cram
SM-OLH32	SMHT001	SMHT001-3AD-001A3	SMHT001-3AD-001A3.cram
SM-OLH33	SMHT001	SMHT001-3AL-002A1	SMHT001-3AL-002A1.cram
SM-OLH34	SMHT001	SMHT001-3I-001A3	SMHT001-3I-001A3.cram
SM-OLH35	SMHT022	SMHT022-3AD-006B1	SMHT022-3AD-006B1.cram
SM-OLH36	SMHT022	SMHT022-3AL-001B1	SMHT022-3AL-001B1.cram
SM-OLH37	SMHT022	SMHT022-3G-003C1	SMHT022-3G-003C1.cram
SM-OLH38	SMHT022	SMHT022-3S-001B2	SMHT022-3S-001B2.cram
SM-OLH3E	SMHT001	SMHT001-3AF-001A4	SMHT001-3AF-001A4.cram
SM-OLH3F	SMHT001	SMHT001-3AO-001B1	SMHT001-3AO-001B1.cram
SM-OLH3G	SMHT001	SMHT001-3M-001B2	SMHT001-3M-001B2.cram
SM-OLH3H	SMHT022	SMHT022-3AF-001B3	SMHT022-3AF-001B3.cram
