sample_id	collaborator_sample_id	MolConsensusBAM	RAW_BAM	donor_id	vcf
SM-NF419	SMHT007-3Q-01A2	SM-NF419.mol_consensus.aligned.bam	SM-NF419.raw.aligned.bam	SMHT007	SM-NF419.vcf
SM-NF41A	SMHT007-3AL-01A4	SM-NF41A.mol_consensus.aligned.bam	SM-NF41A.raw.aligned.bam	SMHT007	SM-NF41A.vcf
SM-NF41B	SMHT007-3O-01C2	SM-NF41B.mol_consensus.aligned.bam	SM-NF41B.raw.aligned.bam	SMHT007	SM-NF41B.vcf
SM-NF41L	SMHT001-3AO-001A1	SM-NF41L.mol_consensus.aligned.bam	SM-NF41L.raw.aligned.bam	SMHT001	SM-NF41L.vcf
SM-NF41M	SMHT007-3AH-01B1	SM-NF41M.mol_consensus.aligned.bam	SM-NF41M.raw.aligned.bam	SMHT007	SM-NF41M.vcf
SM-NF41N	SMHT001-3E-001A3	SM-NF41N.mol_consensus.aligned.bam	SM-NF41N.raw.aligned.bam	SMHT001	SM-NF41N.vcf
SM-NF41Y	SMHT005-3AH-01C1	SM-NF41Y.mol_consensus.aligned.bam	SM-NF41Y.raw.aligned.bam	SMHT005	SM-NF41Y.vcf
SM-NF41Z	SMHT007-3AN-01A3	SM-NF41Z.mol_consensus.aligned.bam	SM-NF41Z.raw.aligned.bam	SMHT007	SM-NF41Z.vcf
SM-NF42B	SMHT001-3S-001B2	SM-NF42B.mol_consensus.aligned.bam	SM-NF42B.raw.aligned.bam	SMHT001	SM-NF42B.vcf
SM-NF42C	SMHT007-3S-01A1	SM-NF42C.mol_consensus.aligned.bam	SM-NF42C.raw.aligned.bam	SMHT007	SM-NF42C.vcf
SM-NF42N	SMHT007-3AF-01B2	SM-NF42N.mol_consensus.aligned.bam	SM-NF42N.raw.aligned.bam	SMHT007	SM-NF42N.vcf
SM-NF42O	SMHT001-3AF-001B4	SM-NF42O.mol_consensus.aligned.bam	SM-NF42O.raw.aligned.bam	SMHT001	SM-NF42O.vcf
SM-NF42Z	SMHT007-3C-01B1	SM-NF42Z.mol_consensus.aligned.bam	SM-NF42Z.raw.aligned.bam	SMHT007	SM-NF42Z.vcf
SM-NF431	SMHT007-3E-01A1	SM-NF431.mol_consensus.aligned.bam	SM-NF431.raw.aligned.bam	SMHT007	SM-NF431.vcf
SM-NF43C	SMHT007-3AK-01A1	SM-NF43C.mol_consensus.aligned.bam	SM-NF43C.raw.aligned.bam	SMHT007	SM-NF43C.vcf
SM-NF43O	SMHT001-3U-002A1	SM-NF43O.mol_consensus.aligned.bam	SM-NF43O.raw.aligned.bam	SMHT001	SM-NF43O.vcf
SM-NF4HG	SMHT001-3AH-001A1	SM-NF4HG.mol_consensus.aligned.bam	SM-NF4HG.raw.aligned.bam	SMHT001	SM-NF4HG.vcf
