sample_id	donor_id	input_bam	collaborator_sample_id
07981e405f1c1aac7108ea35d5c90065	SMHT022	m84037_250123_180742_s1.hifi_reads.bc2019.bam	SMHT022-3C-001A2
09a22e38ca494b97c941ce0130b276e6	SMHT022	m84143_250123_181016_s1.hifi_reads.bc2023.bam	SMHT022-3AK-001A2
0b330044f9d8c181730ea76dfc1192ab	SMHT022	m84141_250123_180905_s1.hifi_reads.bc2013.bam	SMHT022-3AL-001A2
0d1f1cac1f421bbe4fb1d9d898fd7658	SMHT001	m84141_250123_201024_s2.hifi_reads.bc2003.bam	SMHT001-3E-001A2
1243163b34938d60f5df1786140c762f	SMHT022	m84141_250123_180905_s1.hifi_reads.bc2014.bam	SMHT022-3K-001B1
1b90ef29bac5e86b1a02d61f9e5a9ef7	SMHT001	m84141_250124_001423_s4.hifi_reads.bc2001.bam	SMHT001-3AL-001B2
1e684343b6c25781940ac88ed7c0f98d	SMHT022	m84037_250124_001307_s4.hifi_reads.bc2016.bam	SMHT022-3AN-001A2
2766e93563a8cf2505cab5a5927a89b9	SMHT022	m84143_250123_221327_s3.hifi_reads.bc2017.bam	SMHT022-3Q-001B1
2a2ee036aaad8e749f4131765fc693f5	SMHT001	m84141_250123_201024_s2.hifi_reads.bc2004.bam	SMHT001-3AD-001B1
